Region,Año,Tipos_delito,Ordenado_por,Familia_delito,Grupo_delito,Subgrupo_delito,Cantidad
Atacama,2021,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,588
Atacama,2022,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,1092
Atacama,2023,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,1159
Atacama,2024,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,1041
Atacama,2013,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,623
Atacama,2014,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,800
Atacama,2015,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,721
Atacama,2016,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,832
Atacama,2017,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,698
Atacama,2018,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,725
Atacama,2019,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,824
Atacama,2020,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,614
Atacama,2021,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,557
Atacama,2022,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,1038
Atacama,2023,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,1108
Atacama,2024,Robos con violencia o intimidación,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robos con violencia o intimidación,1008
Atacama,2013,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,0
Atacama,2014,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,0
